title,content,label
"Punjab Government Launches Anti-Drug Campaign","The Punjab government has initiated a campaign to combat drug abuse among youth in the state.","True"
"New Bollywood Film Features Social Issues","The latest film addresses pressing social issues, resonating with audiences and critics alike.","True"
"Fake News: Rajasthan to Increase Taxes on Essential Goods","A misleading article claims that Rajasthan will increase taxes on essential goods, which is not true.","Fake"
"New Product Launch: Eco-Friendly Packaging Solutions","A company has introduced eco-friendly packaging solutions to reduce plastic waste in the environment.","True"
"Fake News: Kerala to Ban All Religious Gatherings","A viral post claims that Kerala will ban all religious gatherings, which has been denied by officials.","Fake"
"Uttar Pradesh Chief Minister Announces Job Creation Initiatives","The Chief Minister has announced new initiatives aimed at creating jobs for the youth in the state.","True"
"New Film 'Bollywood Dreams' Explores the Industry","The film provides a behind-the-scenes look at the Bollywood industry, captivating audiences with its narrative.","True"
"Fake News: India to Stop All International Flights","A rumor claims that India will halt all international flights, which is false and misleading.","Fake"
"New Product: Smart Home Devices Gain Popularity","Smart home devices are becoming increasingly popular among Indian consumers, enhancing convenience and security.","True"
"Fake News: Assam to Ban All Mobile Phones","A viral post claims that Assam will ban all mobile phones, which is not true.","Fake"
"Chhattisgarh Government Launches Health Awareness Program","The state government has initiated a health awareness program to educate citizens about preventive healthcare.","True"
"New Bollywood Movie Features Historical Events","The latest film is based on historical events, providing a unique perspective on India's past.","True"
"Fake News: Telangana to Implement 100% Reservation for Women","A misleading article claims that Telangana will implement 100% reservation for women in all jobs, which is not true.","Fake"
"New Product: Organic Food Market Expands in India","The organic food market in India is witnessing significant growth as consumers become more health-conscious.","True"
"Fake News: Bihar to Ban All Forms of Entertainment","A viral post claims that Bihar will ban all forms of entertainment, which has been denied by officials.","Fake"
"Goa Government Announces New Tourism Initiatives","The Goa government has unveiled new initiatives to boost tourism in the state, attracting more visitors.","True"
"New Film 'Love in the Time of Corona' Released","The film explores love stories during the pandemic, resonating with audiences worldwide.","True"
"Fake News: Haryana to Ban All Private Schools","A misleading article claims that Haryana will ban all private schools, which is not true.","Fake"
"New Product: Electric Vehicles Gain Traction in India","Electric vehicles are becoming increasingly popular in India as the government promotes sustainable transportation.","True"
"Fake News: Madhya Pradesh to Increase Water Tariffs","A rumor claims that Madhya Pradesh will increase water tariffs significantly, which has been denied by officials.","Fake"
"Delhi Government Launches Green Initiative","The Delhi government has initiated a green initiative to promote environmental sustainability in the city.","True"
"New Bollywood Film Tackles Social Issues","The latest film addresses important social issues, sparking conversations among viewers.","True"
"Fake News: Rajasthan to Ban All Festivals","A viral post claims that Rajasthan will ban all festivals, which is false and misleading.","Fake"
"New Product: Ayurvedic Remedies Gain Popularity","Ayurvedic remedies are becoming increasingly popular among consumers seeking natural health solutions.","True"
"Fake News: Karnataka to Ban All Religious Practices","A misleading article claims that Karnataka will ban all religious practices, which is not true.","Fake"
"Uttarakhand Government Announces New Tourism Policy","The Uttarakhand government has announced a new tourism policy aimed at attracting more visitors to the state.","True"
"New Film 'The Journey of a Hero' Released","The film tells the inspiring story of a hero's journey, captivating audiences with its narrative.","True"
"Fake News: India to Stop All Exports","A rumor claims that India will halt all exports, which has been denied by officials.","Fake"
"New Product: Health Supplements Market Expands","The health supplements market in India is witnessing significant growth as consumers prioritize wellness.","True"
"Fake News: Punjab to Ban All Forms of Media","A viral post claims that Punjab will ban all forms of media, which is false and misleading.","Fake"
"Telangana Government Launches Skill Development Program","The Telangana government has initiated a skill development program to empower youth with job-ready skills.","True"
"New Bollywood Movie Explores Cultural Heritage","The latest film showcases India's rich cultural heritage, resonating with audiences.","True"
"Fake News: Maharashtra to Ban All Public Gatherings","A misleading article claims that Maharashtra will ban all public gatherings, which is not true.","Fake"
"New Product: Sustainable Fashion Trends in India","Sustainable fashion is gaining popularity among Indian consumers, promoting eco-friendly practices.","True"
"Fake News: Gujarat to Ban All Non-Vegetarian Food","A viral post claims that Gujarat will ban all non-vegetarian food, which has been denied by officials.","Fake"
"New Film 'Voices of the Forgotten' Released","The film highlights the stories of marginalized communities, providing a platform for their voices.","True"
"Fake News: Bihar to Ban All Educational Institutions","A rumor claims that Bihar will halt all educational institutions, which is false and misleading.","Fake"
"New Product: Smart Wearables Gain Popularity","Smart wearables are becoming increasingly popular among Indian consumers, enhancing health monitoring.","True"
"Fake News: Assam to Ban All Forms of Entertainment","A misleading article claims that Assam will ban all forms of entertainment, which is not true.","Fake"
"Kerala Government Announces New Agricultural Policies","The Kerala government has unveiled new agricultural policies aimed at supporting farmers in the state.","True"
"New Bollywood Film Features Strong Female Lead","The latest film showcases a strong female lead, breaking stereotypes in the industry.","True"
"Fake News: India to Stop All Imports","A rumor claims that India will halt all imports, which has been denied by officials.","Fake"
"New Product: Organic Skincare Products Gain Popularity","Organic skincare products are becoming increasingly popular among consumers seeking natural beauty solutions.","True"
"Fake News: Haryana to Ban All Forms of Entertainment","A viral post claims that Haryana will ban all forms of entertainment, which is false and misleading.","Fake"
"New Film 'The Silent Scream' Released","The film addresses mental health issues, resonating with audiences and sparking conversations.","True"
